卫视频道,#genre#
深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/playlist.m3u8
东南卫视,http://112.27.235.94:8000/hls/38/index.m3u8
山西卫视,http://112.27.235.94:8000/hls/45/index.m3u8
河北卫视,http://112.27.235.94:8000/hls/39/index.m3u8
陕西卫视,https://mgtv.ottiptv.cc/mg/738910838.m3u8?userid=5559462299&sign=c1158706e15be7df0d86213fba43aa95e350562487380f04405d334b94cf0b95a9a11364924a2655880e43b8b26382b760c4eb9b547c465e990bdf9d85aafa74bb50e918bf14e6ead021c7b977d8eeae87&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
吉林卫视,https://mgtv.ottiptv.cc/mg/947472500.m3u8?userid=5559462299&sign=efd1c2d70ab01493bed0f255d61d8d6732e943f0470c93262506328cb85d9b6762cbb5452cf5311c54e6517dbec73462f8d526b92a421c2810b760bae5c86e1692f0f7489d82664efd3397131317ae0bf9&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
河南卫视,http://112.6.239.227:8207/hls/31/index.m3u8
江西卫视,http://112.6.239.227:8207/hls/29/index.m3u8
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8
吉林卫视,http://112.6.239.227:8207/hls/30/index.m3u8
云南卫视,http://112.27.235.94:8000/hls/40/index.m3u8
广西卫视,http://112.6.239.227:8207/hls/32/index.m3u8
山东卫视,http://112.27.235.94:8000/hls/34/index.m3u8
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8
河南卫视,https://mgtv.ottiptv.cc/mg/790187291.m3u8?userid=5559462299&sign=1d5fc0eb10563bf5c9714211f6c66f6cc0c633137a66a55d4b373aaa4cb64c1b6d54879945fac29001b6b4ea1e09c9eb853d83c3849c04a8c9f4e25f342d36aa4e09089e8fbe31b61122739073c8fb365f&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
东南卫视,http://112.6.239.227:8207/hls/23/index.m3u8
浙江卫视,http://112.6.239.227:8207/hls/16/index.m3u8
湖北卫视,http://112.6.239.227:8207/hls/25/index.m3u8
兵团卫视,https://mgtv.ottiptv.cc/mg/956923145.m3u8?userid=5559462299&sign=ab8871c3b167678d401192c918cd3cd4fdf54c3e83749dc41c0f18aefe64734dad6900ee88435976fe6ab41424140054d65449222e019cb9356095c57c8964f2b95a80fb080726385cdf51b342dd49fcfa&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
天津卫视,http://112.6.239.227:8207/hls/18/index.m3u8
河北卫视,http://112.6.239.227:8207/hls/28/index.m3u8
广东卫视,http://112.27.235.94:8000/hls/30/index.m3u8
山东卫视,http://112.6.239.227:8207/hls/15/index.m3u8
深圳卫视,http://112.6.239.227:8207/hls/21/index.m3u8
四川卫视,http://112.6.239.227:8207/hls/27/index.m3u8
海南卫视,http://112.6.239.227:8207/hls/24/index.m3u8
广东卫视,http://112.6.239.227:8207/hls/22/index.m3u8
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
大湾区卫视,https://mgtv.ottiptv.cc/mg/608917627.m3u8?userid=5559462299&sign=e7889f6dd657865f714bc201d84a399c7cc89085a52b21377fb98dba01f8b7bfa3e372309dc0be9f6dd131d62a7f8a1f179268ec0a515b31ffcd41c9ac8afd1f708b42d1a8c51febde3995e589a03cc893&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
厦门卫视,http://112.6.239.227:8207/hls/17/index.m3u8
山西卫视,http://112.6.239.227:8207/hls/26/index.m3u8
安徽卫视,http://112.6.239.227:8207/hls/19/index.m3u8
天津卫视,http://183.11.239.36:808/hls/42/index.m3u8
湖北卫视,http://218.17.33.178:53290/tsfile/live/0132_1.m3u8?key=txiptv
内蒙古卫视,http://218.17.33.178:53290/tsfile/live/0109_1.m3u8?key=txiptv
山东卫视,http://183.11.239.36:808/hls/43/index.m3u8
厦门卫视,http://183.11.239.36:808/hls/17/index.m3u8
湖南卫视,http://218.17.33.178:53290/tsfile/live/0128_1.m3u8?key=txiptv
新疆卫视,http://218.17.33.178:53290/tsfile/live/0110_1.m3u8?key=txiptv
深圳卫视,http://183.11.239.36:808/hls/45/index.m3u8
四川卫视,http://183.11.239.36:808/hls/50/index.m3u8
辽宁卫视,http://218.17.33.178:53290/tsfile/live/0121_1.m3u8?key=txiptv
江西卫视,http://183.11.239.36:808/hls/44/index.m3u8
湖北卫视,http://183.11.239.36:808/hls/46/index.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000141.m3u8
东方卫视,http://112.123.243.37:50085/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
新疆卫视,http://183.11.239.36:808/hls/65/index.m3u8
内蒙古卫视,http://183.11.239.36:808/hls/60/index.m3u8
兵团卫视,http://218.13.170.98:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
兵团卫视,http://120.76.248.139/live/bfgd/4200000124.m3u8
云南卫视,http://111.221.137.155:44330/tsfile/live/0116_1.m3u8?key=txiptv
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
甘肃卫视,http://183.11.239.36:808/hls/119/index.m3u8
兵团卫视,http://183.11.239.36:808/hls/7/index.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000185.m3u8
山东卫视,http://112.123.243.37:50085/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://183.11.239.36:808/hls/53/index.m3u8
星空卫视,http://122.53.222.9:9981/stream/channelid/2084767267?profile=pass
东方卫视,http://183.11.239.36:808/hls/114/index.m3u8
兵团卫视,http://218.13.170.98:9901/tsfile/live/0115_1.m3u8
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8
湖北卫视,http://120.76.248.139/live/bfgd/4200000102.m3u8
黑龙江卫视,http://61.156.228.12:8154/tsfile/live/0143_1.m3u8
北京卫视,http://58.57.40.22:9901/tsfile/live/1032_1.m3u8
莲花卫视,http://122.53.222.9:9981/stream/channelid/801543536?profile=pass
湖南卫视,http://58.57.40.22:9901/tsfile/live/1028_1.m3u8
上海卫视,http://61.156.228.12:8154/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://58.57.40.22:9901/tsfile/live/1034_1.m3u8
黑龙江卫视,http://58.57.40.22:9901/tsfile/live/1040_1.m3u8
新疆卫视,http://58.57.40.22:9901/tsfile/live/1055_1.m3u8
安徽卫视,http://58.57.40.22:9901/tsfile/live/1033_1.m3u8
河北卫视,http://58.57.40.22:9901/tsfile/live/1044_1.m3u8
广西卫视,http://221.2.148.205:8154/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://61.156.228.12:8154/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
浙江卫视,http://58.57.40.22:9901/tsfile/live/1029_1.m3u8
