更新时间,#genre#
2025-11-29 02:20:36,url
央视频道,#genre#:
CCTV10,http://114.96.140.108:8888/udp/238.1.78.241:7800
CCTV12,http://114.96.140.108:8888/udp/238.1.78.242:7808
CCTV15,http://114.96.140.108:8888/udp/238.1.78.222:7648

卫视频道,#genre#:
云南卫视,http://114.96.140.108:8888/udp/238.1.78.89:6584$标清
兵团卫视,http://114.96.140.108:8888/udp/238.1.78.104:6704
内蒙古卫视,http://114.96.140.108:8888/udp/238.1.78.103:6696
北京卫视,http://114.96.140.108:8888/udp/238.1.78.63:6376$标清
厦门卫视,http://114.96.140.108:8888/udp/238.1.78.246:7840
吉林卫视,http://114.96.140.108:8888/udp/238.1.78.93:6616$标清
四川卫视,http://114.96.140.108:8888/udp/238.1.78.30:6168
天津卫视,http://114.96.140.108:8888/udp/238.1.78.20:6088
宁夏卫视,http://114.96.140.108:8888/udp/238.1.78.109:6744
新疆卫视,http://114.96.140.108:8888/udp/238.1.78.110:6752
江西卫视,http://114.96.140.108:8888/udp/238.1.78.26:6136
江西卫视,http://114.96.140.108:8888/udp/238.1.78.86:6560$标清
河北卫视,http://114.96.140.108:8888/udp/238.1.78.87:6568$标清
海南卫视,http://114.96.140.108:8888/udp/238.1.79.49:4504
深圳卫视,http://114.96.140.108:8888/udp/238.1.78.99:6664$标清
湖北卫视,http://114.96.140.108:8888/udp/238.1.78.168:7216
甘肃卫视,http://114.96.140.108:8888/udp/238.1.79.36:4400
甘肃卫视,http://114.96.140.108:8888/udp/238.1.78.108:6736$标清
西藏卫视,http://114.96.140.108:8888/udp/238.1.78.101:6680
贵州卫视,http://114.96.140.108:8888/udp/238.1.78.90:6592$标清
辽宁卫视,http://114.96.140.108:8888/udp/238.1.78.21:6096
辽宁卫视,http://114.96.140.108:8888/udp/238.1.78.92:6608$标清
陕西卫视,http://114.96.140.108:8888/udp/238.1.78.88:6576$标清
青海卫视,http://114.96.140.108:8888/udp/238.1.78.102:6688
黑龙江卫视,http://114.96.140.108:8888/udp/238.1.78.98:6656$标清

安徽频道,#genre#:
临泉新闻频道,http://114.96.140.108:8888/udp/238.1.78.29:6160
五河新闻综合,http://114.96.140.108:8888/udp/238.1.79.52:4528
亳州农村频道,http://114.96.140.108:8888/udp/238.1.78.129:6904
亳州综合频道,http://114.96.140.108:8888/udp/238.1.78.128:6896
休宁新闻综合,http://114.96.140.108:8888/udp/238.1.79.20:4272
六安社会生活,http://114.96.140.108:8888/udp/238.1.78.145:7032
六安综合频道,http://114.96.140.108:8888/udp/238.1.78.144:7024
合肥新闻频道,http://114.96.140.108:8888/udp/238.1.78.111:6760
固镇新闻综合,http://114.96.140.108:8888/udp/238.1.79.47:4488
太湖新闻综合,http://114.96.140.108:8888/udp/238.1.79.12:4208
宁国新闻综合,http://114.96.140.108:8888/udp/238.1.78.216:7600
安庆新闻综合,http://114.96.140.108:8888/udp/238.1.78.117:6808
安徽公共频道,http://114.96.140.108:8888/udp/238.1.79.43:4456
安徽农业科教,http://114.96.140.108:8888/udp/238.1.79.40:4432
安徽国际频道,http://114.96.140.108:8888/udp/238.1.78.61:6360
安徽影视频道,http://114.96.140.108:8888/udp/238.1.79.42:4448
安徽经济生活,http://114.96.140.108:8888/udp/238.1.79.44:4464
安徽综艺体育,http://114.96.140.108:8888/udp/238.1.79.41:4440
宿州公共频道,http://114.96.140.108:8888/udp/238.1.78.122:6848
宿州新闻综合,http://114.96.140.108:8888/udp/238.1.78.121:6840
广德新闻综合,http://114.96.140.108:8888/udp/238.1.78.212:7568
广德生活频道,http://114.96.140.108:8888/udp/238.1.78.213:7576
徽州新闻频道,http://114.96.140.108:8888/udp/238.1.78.138:6976
无为新闻频道,http://114.96.140.108:8888/udp/238.1.78.188:7376
枞阳电视台,http://114.96.140.108:8888/udp/238.1.78.210:7552
桐城综合频道,http://114.96.140.108:8888/udp/238.1.78.28:6152
歙县综合频道,http://114.96.140.108:8888/udp/238.1.78.200:7472
池州文教生活,http://114.96.140.108:8888/udp/238.1.78.148:7056
池州新闻综合,http://114.96.140.108:8888/udp/238.1.78.147:7048
淮北新闻综合,http://114.96.140.108:8888/udp/238.1.78.135:6952
淮南民生频道,http://114.96.140.108:8888/udp/238.1.78.114:6784
滁州公共频道,http://114.96.140.108:8888/udp/238.1.78.133:6936
滁州新闻综合,http://114.96.140.108:8888/udp/238.1.78.132:6928
滁州科教频道,http://114.96.140.108:8888/udp/238.1.78.134:6944
潜山综合频道,http://114.96.140.108:8888/udp/238.1.78.192:7408
濉溪新闻频道,http://114.96.140.108:8888/udp/238.1.78.209:7544
界首综合频道,http://114.96.140.108:8888/udp/238.1.78.195:7432
繁昌新闻综合,http://114.96.140.108:8888/udp/238.1.78.190:7392
芜湖新闻综合,http://114.96.140.108:8888/udp/238.1.78.112:6768
芜湖生活频道,http://114.96.140.108:8888/udp/238.1.78.80:6512
萧县新闻综合,http://114.96.140.108:8888/udp/238.1.79.46:4480
蚌埠新闻综合,http://114.96.140.108:8888/udp/238.1.78.180:7312
郎溪新闻频道,http://114.96.140.108:8888/udp/238.1.78.214:7584
金寨综合频道,http://114.96.140.108:8888/udp/238.1.79.21:4280
铜陵教育科技,http://114.96.140.108:8888/udp/238.1.78.141:7000
铜陵新闻综合,http://114.96.140.108:8888/udp/238.1.78.139:6984
阜阳教育频道,http://114.96.140.108:8888/udp/238.1.78.126:6880
阜阳生活频道,http://114.96.140.108:8888/udp/238.1.78.125:6872
阜阳都市文艺,http://114.96.140.108:8888/udp/238.1.78.127:6888
霍邱新闻综合,http://114.96.140.108:8888/udp/238.1.78.119:6824
马鞍山新闻综合,http://114.96.140.108:8888/udp/238.1.79.15:4232
马鞍山科教生活,http://114.96.140.108:8888/udp/238.1.78.77:6488
黄山区融媒,http://114.96.140.108:8888/udp/238.1.78.199:7464
黄山新闻综合,http://114.96.140.108:8888/udp/238.1.78.130:6912

其他频道,#genre#:
女性时尚,http://114.96.140.108:8888/udp/238.1.79.55:4576
怀旧剧场,http://114.96.140.108:8888/udp/238.1.79.61:4624


404: Not Found
