# 江苏电信 IP速度测试结果 - 有效IP 8/17
# 测试时间: 2025-11-25 01:47:12
# IP:端口 速度 连接时间(ms)
112.87.111.111:4000 561.7KB/s (ping:194ms)
58.217.235.8:8118 535.5KB/s (ping:194ms)
114.226.72.211:8095 532.4KB/s (ping:211ms)
121.238.14.162:4000 525.4KB/s (ping:197ms)
58.214.70.9:8888 504.4KB/s (ping:197ms)
114.222.8.74:8001 451.2KB/s (ping:204ms)
112.80.122.172:4022 329.1KB/s (ping:215ms)
121.237.246.205:10001 15.7KB/s (ping:217ms)

# 失败统计 (9个):
# 49.82.46.53:7000 - 不可用
# 117.84.148.123:9200 - 链接超时
# 117.84.148.123:2424 - 链接超时
# 117.84.148.123:6565 - 链接超时
# 117.84.148.123:2103 - 链接超时
# 117.84.148.123:10333 - 链接超时
# 58.218.33.116:10000 - 不可用
# 117.84.148.123:5984 - 链接超时
# 117.84.148.123:6060 - 链接超时
